flood_hazard_zone_tier,zone_cluster_id,platform,delivery_baseline_30d,income_baseline_weekly,enrollment_week,season_flag,open_meteo_7d_precip_probability,activity_consistency_score,tenure_discount_factor,historical_claim_rate_zone,weekly_premium
high,8,swiggy,201.87,1425.13,11,heat,0.5358,0.8289,0.889,0.2138,50.16
low,11,zomato,277.0,1591.96,5,dry_season,0.3512,0.6707,0.9443,0.091,50.02
medium,15,swiggy,316.96,2200.81,48,NE_monsoon,0.5663,0.8241,0.85,0.0849,50.35
high,16,zomato,332.29,2360.67,20,NE_monsoon,0.5123,0.516,0.85,0.1659,49.0
low,2,swiggy,259.91,1535.86,45,SW_monsoon,0.4295,0.6553,0.85,0.0743,49.0
low,1,zomato,321.43,1810.92,30,NE_monsoon,0.5234,0.6273,0.85,0.0685,49.0
medium,3,zomato,319.92,2038.14,26,NE_monsoon,0.6807,0.5348,0.85,0.132,49.0
low,20,swiggy,223.98,1285.09,37,heat,0.1963,0.7808,0.85,0.0622,49.0
high,14,zomato,265.64,1732.59,8,heat,0.3052,0.77,0.9302,0.1443,49.0
high,11,zomato,266.67,1683.63,31,SW_monsoon,0.1876,1.0,0.85,0.1503,49.0
low,6,zomato,343.96,2031.63,15,SW_monsoon,0.7186,0.7125,0.8532,0.0839,51.47
high,4,zomato,407.71,2697.68,2,SW_monsoon,0.4481,0.6981,0.9757,0.1604,50.11
low,8,swiggy,289.6,1673.3,5,dry_season,0.4623,0.8749,0.9555,0.1261,49.45
high,4,zomato,269.23,1836.46,39,dry_season,0.4734,0.8101,0.85,0.1798,49.0
low,4,zomato,277.08,1507.25,51,heat,0.276,0.5343,0.85,0.0655,49.0
medium,13,swiggy,238.24,1503.84,7,NE_monsoon,0.6689,0.752,0.9127,0.1763,49.0
high,9,swiggy,236.25,1581.66,35,NE_monsoon,0.1866,1.0,0.85,0.1537,49.0
high,9,zomato,214.19,1682.96,6,NE_monsoon,0.824,0.962,0.9407,0.1726,50.94
low,5,zomato,264.02,1568.7,29,NE_monsoon,0.236,0.7692,0.85,0.08,49.0
low,3,zomato,374.4,2251.42,2,NE_monsoon,0.2824,0.8868,0.9818,0.0944,49.0
high,18,swiggy,283.15,1943.43,31,dry_season,0.4084,0.3607,0.85,0.1853,49.73
low,9,zomato,187.97,1172.26,41,NE_monsoon,0.5711,0.902,0.85,0.132,51.97
medium,17,swiggy,283.99,1729.86,29,dry_season,0.4886,0.7299,0.85,0.1425,53.67
low,19,zomato,248.9,1627.47,28,dry_season,0.7094,0.5497,0.85,0.0894,51.91
medium,9,zomato,376.97,2055.94,48,heat,0.6297,0.7716,0.85,0.1029,51.03
medium,18,swiggy,228.2,1448.57,42,NE_monsoon,0.2952,0.7025,0.85,0.0977,49.0
high,9,zomato,330.51,2399.03,1,dry_season,0.9334,0.6559,0.9913,0.2193,49.0
low,9,zomato,311.45,1856.95,38,NE_monsoon,0.3918,0.7394,0.85,0.0869,50.32
low,3,swiggy,311.27,1777.13,1,NE_monsoon,0.7822,0.5125,0.9662,0.0597,50.87
high,16,swiggy,275.85,2105.21,48,dry_season,0.5603,0.5957,0.85,0.2041,53.4
medium,1,zomato,170.15,1165.48,12,NE_monsoon,0.5223,0.7799,0.8809,0.1299,49.89
high,5,zomato,260.11,1956.07,46,heat,0.459,1.0,0.85,0.1848,51.71
medium,12,zomato,184.63,1006.08,8,SW_monsoon,0.2895,0.8748,0.9162,0.1304,49.0
medium,13,zomato,343.83,2023.02,22,heat,0.4166,0.7328,0.85,0.1183,49.0
high,6,swiggy,319.94,2401.58,3,SW_monsoon,0.4417,0.851,0.9527,0.1699,49.0
high,7,zomato,189.85,1066.3,7,heat,0.298,0.7851,0.9205,0.1711,49.24
low,4,zomato,333.87,2201.37,37,NE_monsoon,0.1577,0.9165,0.85,0.1237,49.32
medium,9,zomato,253.09,1677.39,9,NE_monsoon,0.2366,0.3848,0.9225,0.0694,49.0
medium,13,swiggy,219.49,1480.78,32,heat,0.4723,1.0,0.85,0.1108,49.0
high,6,zomato,226.67,1579.23,4,SW_monsoon,0.6274,0.8235,0.9659,0.1604,50.36
medium,12,zomato,291.39,1671.93,9,NE_monsoon,0.6779,0.3826,0.8961,0.1112,49.0
low,15,zomato,294.13,1936.88,37,SW_monsoon,0.1064,0.6607,0.85,0.0416,49.0
medium,20,zomato,245.35,1720.23,13,dry_season,0.2725,0.7827,0.8805,0.1361,49.0
medium,14,swiggy,203.04,1370.49,22,dry_season,0.3045,0.7245,0.85,0.1014,50.17
medium,18,swiggy,376.66,2864.98,22,NE_monsoon,0.4256,0.6934,0.85,0.1374,50.3
high,16,swiggy,259.76,1801.11,45,NE_monsoon,0.7474,0.743,0.85,0.2354,49.0
medium,2,zomato,290.64,2029.42,16,NE_monsoon,0.3952,0.6721,0.85,0.0688,49.0
high,10,swiggy,296.34,1975.67,24,SW_monsoon,0.1859,0.7739,0.85,0.1916,49.0
medium,9,swiggy,249.95,1553.05,14,heat,0.2054,0.6605,0.868,0.1126,51.39
high,2,zomato,222.18,1460.38,43,NE_monsoon,0.4518,0.712,0.85,0.1507,49.0
